"year","doy","hour","zen","direct_n","diffuse","par","temp","rh","windspeed","pressure","zen_clean","direct_n_clean","diffuse_clean","par_clean","temp_clean","rh_clean","windspeed_clean","pressure_clean"
1996,5,3,154.3605,0.61,NA,-0.62,-12.795,96.7,3.375,998.965,154.3605,0.61,NA,-0.62,-12.795,96.7,3.375,998.965
1996,5,4,144.1885,0.225,NA,-0.6,-12.945,96.06,3.33,999.575,144.1885,0.225,NA,-0.6,-12.945,96.06,3.33,999.575
1996,5,5,132.9805,-1.11022302462516e-17,NA,-0.605,-13.485,95.385,4.125,999.49,132.9805,-1.11022302462516e-17,NA,-0.605,-13.485,95.385,4.125,999.49
1996,5,6,121.527,-0.315,NA,-0.57,-14.165,94.625,3.14,999.97,121.527,-0.315,NA,-0.57,-14.165,94.625,3.14,999.97
1996,5,7,110.201,-0.14,NA,-0.605,-14.94,93.84,2.785,1001.07,110.201,-0.14,NA,-0.605,-14.94,93.84,2.785,1001.07
1996,5,8,99.2735,2.145,NA,-0.555,-12.565,96.06,3.49,1001.475,99.2735,2.145,NA,-0.555,-12.565,96.06,3.49,1001.475
1996,5,9,88.792,0.49,NA,7.225,-10.355,98.12,3.775,1001.855,88.792,0.49,NA,7.225,-10.355,98.12,3.775,1001.855
1996,5,10,79.707,-0.32,NA,44.71,-9.87,98.54,3.935,1002.685,79.707,-0.32,NA,44.71,-9.87,98.54,3.935,1002.685
1996,5,11,72.002,-1.025,NA,95.28,-9.665,98.63,4.02,1003.425,72.002,-1.025,NA,95.28,-9.665,98.63,4.02,1003.425
1996,5,12,66.3065,-1.47,NA,119.335,-9.265,98.725,3.265,1004.125,66.3065,-1.47,NA,119.335,-9.265,98.725,3.265,1004.125
1996,5,13,63.2155,-2.39,NA,145.17,-8.395,98.89,3.22,1003.77,63.2155,-2.39,NA,145.17,-8.395,98.89,3.22,1003.77
1996,5,14,63.1205,-1.2,NA,155.635,-7.83,98.405,3.665,1003.125,63.1205,-1.2,NA,155.635,-7.83,98.405,3.665,1003.125
1996,5,15,66.0385,0.43,NA,131.72,-6.97,97.73,3.615,1002.995,66.0385,0.43,NA,131.72,-6.97,97.73,3.615,1002.995
1996,5,16,71.5905,4.915,NA,102.445,-7.245,97.2,4.945,1002.87,71.5905,4.915,NA,102.445,-7.245,97.2,4.945,1002.87
1996,5,17,79.1925,0.21,NA,46.145,-7.66,94.08,4.57,1003.08,79.1925,0.21,NA,46.145,-7.66,94.08,4.57,1003.08
1996,5,18,88.1965,-0.68,NA,8.045,-8.3,92.195,4.375,1003.425,88.1965,-0.68,NA,8.045,-8.3,92.195,4.375,1003.425
1996,5,19,98.625,-1.17,NA,-0.67,-9.125,93.455,4.36,1003.835,98.625,-1.17,NA,-0.67,-9.125,93.455,4.36,1003.835
1996,5,20,109.5185,-0.745,NA,-0.66,-10.595,94.735,5.17,1003.73,109.5185,-0.745,NA,-0.66,-10.595,94.735,5.17,1003.73
1996,5,21,120.825,1.185,NA,-0.59,-10.935,93.325,5.435,1003.675,120.825,1.185,NA,-0.59,-10.935,93.325,5.435,1003.675
1996,5,22,132.274,-0.845,NA,-0.7,-10.265,86.635,4.355,1003.675,132.274,-0.845,NA,-0.7,-10.265,86.635,4.355,1003.675
1996,5,23,143.501,-0.79,NA,-0.7,-10.845,84.25,3.275,1004.27,143.501,-0.79,NA,-0.7,-10.845,84.25,3.275,1004.27
1996,6,0,153.755,1.025,NA,-0.705,-10.79,84.42,3.25,1004.83,153.755,1.025,NA,-0.705,-10.79,84.42,3.25,1004.83
1996,6,1,160.9545,0.655,NA,-0.71,-10.855,86.43,3.675,1004.6,160.9545,0.655,NA,-0.71,-10.855,86.43,3.675,1004.6
1996,6,2,161.219,-0.02,NA,-0.72,-10.485,87.865,4.07,1004.355,161.219,-0.02,NA,-0.72,-10.485,87.865,4.07,1004.355
1996,6,3,154.345,0.05,NA,-0.71,-10.4,90.005,4.63,1004.255,154.345,0.05,NA,-0.71,-10.4,90.005,4.63,1004.255
1996,6,4,144.2005,-0.33,NA,-0.64,-10.78,90.885,4.82,1004.255,144.2005,-0.33,NA,-0.64,-10.78,90.885,4.82,1004.255
1996,6,5,133.001,-0.945,NA,-0.59,-12.21,90.17,5.31,1004.03,133.001,-0.945,NA,-0.59,-12.21,90.17,5.31,1004.03
1996,6,6,121.548,-0.565,NA,-0.515,-13.93,90.06,4.69,1004.015,121.548,-0.565,NA,-0.515,-13.93,90.06,4.69,1004.015
1996,6,7,110.2185,0.505,NA,-0.5,-14.105,90.575,5.39,1003.94,110.2185,0.505,NA,-0.5,-14.105,90.575,5.39,1003.94
1996,6,8,99.28,-0.565,NA,-0.48,-14.185,90.435,5.295,1004.085,99.28,-0.565,NA,-0.48,-14.185,90.435,5.295,1004.085
1996,6,9,88.7845,0.5,NA,5.985,-14.49,90.155,5.81,1003.81,88.7845,0.5,NA,5.985,-14.49,90.155,5.81,1003.81
1996,6,10,79.6805,1.255,NA,42.065,-13.52,90.325,5.825,1003.795,79.6805,1.255,NA,42.065,-13.52,90.325,5.825,1003.795
1996,6,11,71.9535,1.075,NA,89.515,-12.52,90.8,4.915,1003.71,71.9535,1.075,NA,89.515,-12.52,90.8,4.915,1003.71
1996,6,12,66.232,1.035,NA,120.6,-10.845,91.75,5.09,1003.5,66.232,1.035,NA,120.6,-10.845,91.75,5.09,1003.5
1996,6,13,63.1135,0.93,NA,144.9,-9.895,91.39,5.69,1002.885,63.1135,0.93,NA,144.9,-9.895,91.39,5.69,1002.885
1996,6,14,62.9955,0.345,NA,153.5,-9.755,89.91,5.335,1002.11,62.9955,0.345,NA,153.5,-9.755,89.91,5.335,1002.11
1996,6,15,65.8965,0.105,NA,139.63,-9.36,90.46,5.525,1001.465,65.8965,0.105,NA,139.63,-9.36,90.46,5.525,1001.465
1996,6,16,71.4395,-0.69,NA,89.895,-8.93,92.285,5.835,1001.035,71.4395,-0.69,NA,89.895,-8.93,92.285,5.835,1001.035
1996,6,17,79.0385,-0.545,NA,49.335,-8.685,93.81,6.015,1000.67,79.0385,-0.545,NA,49.335,-8.685,93.81,6.015,1000.67
1996,6,18,88.052,-0.355,NA,7.555,-8.955,94.995,6.65,1000.39,88.052,-0.355,NA,7.555,-8.955,94.995,6.65,1000.39
1996,6,19,98.4725,-0.25,NA,-0.59,-9.305,95.56,7.325,1000.29,98.4725,-0.25,NA,-0.59,-9.305,95.56,7.325,1000.29
1996,6,20,109.3675,-0.055,NA,-0.58,-9.45,95.685,8.065,999.805,109.3675,-0.055,NA,-0.58,-9.45,95.685,8.065,999.805
1996,6,21,120.6745,0.09,NA,-0.57,-9.065,96.42,7.835,999.49,120.6745,0.09,NA,-0.57,-9.065,96.42,7.835,999.49
1996,6,22,132.1235,0.025,NA,-0.585,-8.83,97.24,6.38,999.37,132.1235,0.025,NA,-0.585,-8.83,97.24,6.38,999.37
1996,6,23,143.35,-0.07,NA,-0.615,-8.765,97.51,5.84,999.325,143.35,-0.07,NA,-0.615,-8.765,97.51,5.84,999.325
1996,7,0,153.6005,0.01,NA,-0.65,-8.655,96.845,6.465,999.04,153.6005,0.01,NA,-0.65,-8.655,96.845,6.465,999.04
1996,7,1,160.8115,-0.005,NA,-0.625,-8.405,96.41,7.745,998.68,160.8115,-0.005,NA,-0.625,-8.405,96.41,7.745,998.68
1996,7,2,161.1365,-0.08,NA,-0.63,-8.3,97.265,7.965,998.125,161.1365,-0.08,NA,-0.63,-8.3,97.265,7.965,998.125
1996,7,3,154.3215,-0.105,NA,-0.58,-8.16,97.53,8.26,997.695,154.3215,-0.105,NA,-0.58,-8.16,97.53,8.26,997.695
1996,7,4,144.206,-0.11,NA,-0.58,-8.24,97.03,7.87,997.91,144.206,-0.11,NA,-0.58,-8.24,97.03,7.87,997.91
1996,7,5,133.0165,-0.3,NA,-0.52,-8.315,95.805,8.635,997.73,133.0165,-0.3,NA,-0.52,-8.315,95.805,8.635,997.73
1996,7,6,121.5665,-0.135,NA,-0.51,-8.43,89.56,8.365,997.95,121.5665,-0.135,NA,-0.51,-8.43,89.56,8.365,997.95
1996,7,7,110.2285,-0.12,NA,-0.475,-8.515,84.31,8.6,998.175,110.2285,-0.12,NA,-0.475,-8.515,84.31,8.6,998.175
1996,7,8,99.2805,-0.16,NA,-0.47,-8.575,84.365,8.37,998.265,99.2805,-0.16,NA,-0.47,-8.575,84.365,8.37,998.265
1996,7,9,88.773,0.11,NA,6.675,-8.69,86.51,8.985,998.445,88.773,0.11,NA,6.675,-8.69,86.51,8.985,998.445
1996,7,10,79.6485,1.3,NA,43.75,-8.505,90.265,6.87,998.77,79.6485,1.3,NA,43.75,-8.505,90.265,6.87,998.77
1996,7,11,71.8975,38.775,NA,104.02,-7.63,92.8,8.485,998.945,71.8975,38.775,NA,104.02,-7.63,92.8,8.485,998.945
1996,7,12,66.15,33.94,NA,137.19,-8.17,93.245,10.2,998.985,66.15,33.94,NA,137.19,-8.17,93.245,10.2,998.985
1996,7,13,63.004,104.435,NA,175.795,-8.395,93.745,10.285,998.305,63.004,104.435,NA,175.795,-8.395,93.745,10.285,998.305
