"year","doy","hour","zenith_angle","cosine_zenith_angle","direct_transmittance","diffuse_transmittance","total_transmittance","solar","solar_source","temp","doy_dbl"
2001,107,8,75.9568793439348,0.242652069082178,0.168639966192464,0.0605193697066885,0.101440206433239,280.077774495538,1,-0.142118423488505,107.333333333333
2001,107,9,64.5344951872319,0.429967613201227,0.366214417185307,0.0817521822972546,0.2392125211743,660.468988754065,1,1.56144890320933,107.375
2001,107,10,53.3819434631993,0.596477850084824,0.48475378631095,0.0921998861416771,0.38134478242091,1052.89807396268,1,3.47406853535601,107.416666666667
2001,107,11,43.0681009472179,0.730542571671089,0.553646350363119,0.097824102924151,0.502286331514737,1386.81931786842,1,5.39523086476356,107.458333333333
2001,107,12,34.6158775566795,0.82297897854734,0.591660244798353,0.100816510390837,0.587740454302054,1622.75930037912,1,7.12353070900024,107.5
2001,107,13,29.8328124623034,0.867480701301752,0.607806115615363,0.102066187761673,0.629326263191182,1737.57827811779,1,8.47778163728038,107.541666666667
2001,107,14,30.56836360955,0.861022967667332,0.605540629692285,0.101891573293961,0.623275963314757,1720.87331877275,1,9.31601066216114,107.583333333333
2001,107,15,36.4801593866728,0.804062790047453,0.584400015146695,0.100250545009448,0.570144851692074,1574.17760488391,1,9.55330226179681,107.625
2001,107,16,45.5322134569074,0.700508142108708,0.539788316149181,0.0967146094893172,0.474840719966968,1311.04161519756,1,9.38191315313366,107.666666666667
2001,107,17,56.1197151389235,0.557459473647418,0.460797199336621,0.0901751128341063,0.347050877034503,958.212139882818,1,8.94570783350903,107.708333333333
2001,107,18,67.3710795710382,0.384761270233335,0.325445202384027,0.0778627682318136,0.203081477692437,560.710691680196,1,8.26560975554176,107.75
2001,107,19,78.7776935778951,0.194616242451667,0.108681677718878,0.0520395068132027,0.0731907265541938,202.080580548713,1,7.37424117134641,107.791666666667
2001,107,20,89.5593375772641,0.00769093434414017,4.07655532704272e-25,0.00230728030324205,0.00230728030324205,6.37043195386953,1,6.31435834156047,107.833333333333
2001,107,21,100.962523818527,-0.190166889190708,0,1,0,0,1,5.13680064656938,107.875
2001,107,22,110.881342932993,-0.356433777979907,0,1,0,0,1,3.89805197487384,107.916666666667
2001,107,23,119.350465511808,-0.490150371139263,0,1,0,0,1,2.65753136143926,107.958333333333
2001,108,0,125.605000507163,-0.582193931564635,0,1,0,0,1,1.47474283592813,108
2001,108,1,128.776441829467,-0.626283319854033,0,1,0,0,1,0.406421193993422,108.041666666667
2001,108,2,128.272834454821,-0.619406877533632,0,1,0,0,1,-0.496189399630854,108.083333333333
2001,108,3,124.196122160816,-0.562027398873485,0,1,0,0,1,-1.18979343904576,108.125
2001,108,4,117.261364523974,-0.458050241202106,0,1,0,0,1,-1.64112083193003,108.166666666667
2001,108,5,108.334058549309,-0.314556771076476,0,1,0,0,1,-1.82852276545232,108.208333333333
2001,108,6,98.1243136914293,-0.141321339706801,0,1,0,0,1,-1.5576853856282,108.25
2001,108,7,86.8987836821037,0.0541000106599676,0.00034097666987599,0.0162244691455477,0.0162429159870228,48.9406033714372,1,-0.493303626844642,108.291666666667
2001,108,8,75.6954829014806,0.247075407451598,0.17410051981166,0.0612178351744792,0.10423379204448,314.060891432633,1,1.26342401719403,108.333333333333
2001,108,9,64.2702532491969,0.434126846156403,0.369755933105587,0.0820817607208971,0.242602737807643,730.972466849831,1,3.52910975233396,108.375
2001,108,10,53.1055841173269,0.600342284221439,0.4870185755155,0.0923893320414578,0.384767176124704,1159.32002431779,1,6.06723478146785,108.416666666667
2001,108,11,42.768001338387,0.734109205796617,0.555238962671963,0.0979509515646493,0.505556985479102,1523.26490685292,1,8.61283990505269,108.458333333333
2001,108,12,34.2828775660217,0.826266663334938,0.592897070479286,0.100912673762688,0.590803757888666,1780.11709278585,1,10.9001850637314,108.5
2001,108,13,29.479973463539,0.870527759084546,0.608866304315871,0.102147821881909,0.632182841360093,1904.79404818392,1,12.6904903962422,108.541666666667
2001,108,14,30.2444514336753,0.863884287004075,0.606547564871443,0.101969212917315,0.62595612353034,1886.03267997545,1,13.7968628762781,108.583333333333
2001,108,15,36.2149731889371,0.806805940756819,0.585468328997624,0.10033398443897,0.572693310399222,1725.54953680216,1,14.1083444694371,108.625
2001,108,16,45.3149973921502,0.703208624201385,0.541067942098298,0.0968174943116899,0.477301137474108,1438.12882345257,1,13.9084657709982,108.666666666667
2001,108,17,55.9306967626122,0.560195272867183,0.462544085445108,0.0903240788124478,0.349439088971472,1052.87498066803,1,13.401651839454,108.708333333333
2001,108,18,67.1943572716724,0.387606373516708,0.328137887073738,0.0781254111283864,0.205313747550473,618.619137942903,1,12.6122823423867,108.75
2001,108,19,78.6017578883423,0.197627264645543,0.112419416120206,0.0526230368833973,0.0748401785842828,225.496671857887,1,11.5783289390978,108.791666666667
2001,108,20,89.4136429310779,0.0102336828106425,4.68132417960964e-19,0.00307010484319274,0.00307010484319274,9.25035772883809,1,10.3495287001345,108.833333333333
2001,108,21,100.755823738425,-0.18662389465391,0,1,0,0,1,8.98499156602149,108.875
