"year","doy","hour","zenith_angle","cosine_zenith_angle","direct_transmittance","diffuse_transmittance","total_transmittance","solar","solar_source","temp","precip","doy_dbl"
2015,7,17,93.6676190462013,-0.063968321715679,0,1,0,0,1,-11.47760532425,0.0211666666666667,7.70833333333333
2015,7,18,104.304016604059,-0.247066942992216,0,1,0,0,1,-12.1550861715026,0.0211666666666667,7.75
2015,7,19,115.46814342209,-0.430009190911021,0,1,0,0,1,-12.9812666022708,0.0211666666666667,7.79166666666667
2015,7,20,126.893599185843,-0.600330884582348,0,1,0,0,1,-13.9255221068103,0.0211666666666667,7.83333333333333
2015,7,21,138.281765690598,-0.746426435758919,0,1,0,0,1,-14.9528514180579,0.0211666666666667,7.875
2015,7,22,149.130636552161,-0.858339378023141,0,1,0,0,1,-16.0251739239206,0.0211666666666667,7.91666666666667
2015,7,23,158.193029123513,-0.928440637635605,0,1,0,0,1,-17.1027412234356,0.0211666666666667,7.95833333333333
2015,8,0,162.16609690548,-0.95194833984938,0,1,0,0,1,-18.1456105038284,0.0105833333333333,8
2015,8,1,158.010690430916,-0.927253733730877,0,1,0,0,1,-19.1151251239468,0.0105833333333333,8.04166666666667
2015,8,2,148.873824854817,-0.856031020895368,0,1,0,0,1,-19.9753475224235,0.0105833333333333,8.08333333333333
2015,8,3,137.998181702309,-0.743123590055027,0,1,0,0,1,-20.6943913361311,0.0105833333333333,8.125
2015,8,4,126.599251542992,-0.596214387678677,0,1,0,0,1,-21.2456033505181,0.0105833333333333,8.16666666666667
2015,8,5,115.169834853628,-0.425302858214632,0,1,0,0,1,-21.6085514697891,0.0105833333333333,8.20833333333333
2015,8,6,104.006033089722,-0.242024063758824,0,1,0,0,1,-21.7697820852634,0.0105833333333333,8.25
2015,8,7,93.3741701520254,-0.0588563451857397,0,1,0,0,1,-21.3999720543147,0.0105833333333333,8.29166666666667
2015,8,8,83.4513845481075,0.114046218340645,0.0226585156044503,0.0334386300968235,0.0360227481147236,58.9994224004152,1,-19.7041505347992,0.0105833333333333,8.33333333333333
2015,8,9,74.9781013045421,0.259188207230008,0.18892099270171,0.0630666341470615,0.112032727553531,183.491448085821,1,-16.9119161206814,0.0105833333333333,8.375
2015,8,10,68.2239302994079,0.370980009444234,0.312152829812948,0.0765532649076547,0.192355724659707,315.047497603254,1,-13.4799175403126,0.0105833333333333,8.41666666666667
2015,8,11,63.8162895639467,0.441250738542943,0.375743141948859,0.082636139896669,0.248433078784049,406.893113949427,1,-9.9694320917248,0.0105833333333333,8.45833333333333
2015,8,12,62.2886509823445,0.465017413359563,0.395019055770116,0.0843980021452821,0.268088741687238,439.085903752476,1,-6.95457300405381,0.0105833333333333,8.5
2015,8,13,63.8554520974932,0.440637260051451,0.375231425692681,0.0825888938247085,0.247929841127131,406.068892238365,1,-4.92839757993226,0.0105833333333333,8.54166666666667
2015,8,14,68.2969722966257,0.369795855274869,0.31099123400943,0.0764377757734094,0.191441045136913,313.549400807462,1,-4.22223033107653,0.0105833333333333,8.58333333333333
2015,8,15,75.0771730619143,0.257517782019556,0.186889847258001,0.0628170969215107,0.110944555869365,181.709199251451,1,-4.3437735558665,0.0105833333333333,8.625
2015,8,16,83.5674979962146,0.112032645967072,0.0211675156108885,0.0328983579553906,0.0352698107378277,57.7662330224405,1,-4.69997193848818,0.0105833333333333,8.66666666666667
2015,8,17,93.5048957586595,-0.0611338270437992,0,1,0,0,1,-5.27760624745547,0.0105833333333333,8.70833333333333
2015,8,18,104.144136985009,-0.244362066477278,0,1,0,0,1,-6.05523932298021,0.0105833333333333,8.75
2015,8,19,115.310502484748,-0.427523577194657,0,1,0,0,1,-7.0040116526723,0.0105833333333333,8.79166666666667
2015,8,20,126.736719188948,-0.598138858768542,0,1,0,0,1,-8.08871240552939,0.0105833333333333,8.83333333333333
2015,8,21,138.123200197465,-0.744581903851833,0,1,0,0,1,-9.2690861760114,0.0105833333333333,8.875
2015,8,22,148.96717940916,-0.856872132179339,0,1,0,0,1,-10.5013269423243,0.0105833333333333,8.91666666666667
2015,8,23,158.026087173444,-0.927354319486318,0,1,0,0,1,-11.7397037951457,0.0105833333333333,8.95833333333333
2015,9,0,162.030374083752,-0.951220201136916,0,1,0,0,1,-12.9382581027603,0,9
